nombre,enlace,link_imagen,precio,valor_nutricional,oferta,precio_por_peso
Bacon en tiras Nuestra Alacena de Dia bandeja 2 x 100 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273750,https://www.dia.es/product_images/273750/273750_ISO_0_ES.jpg?imwidth=392,"1,76 €",Grasas 25g de las cuales saturadas 9g Hidratos de Carbono 1g de los cuales azúcares 0.8g Proteínas 15g Sal 2g,No disponible,"(8,80 €/KILO)"
Pechuga de pavo Nuestra Alacena de Dia sobre 2 x 200 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273810,https://www.dia.es/product_images/273810/273810_ISO_0_ES.jpg?imwidth=392,"3,30 €",Grasas 0.5g de las cuales saturadas 0.2g Hidratos de Carbono 0.5g de los cuales azúcares 0.5g Proteínas 17g Sal 1.85g,No disponible,"(8,25 €/KILO)"
Jamón cocido extra Nuestra Alacena de Dia sobre 2 x 225 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273957,https://www.dia.es/product_images/273957/273957_ISO_0_ES.jpg?imwidth=392,"3,45 €",Grasas 2.5g de las cuales saturadas 0.9g Hidratos de Carbono 0.3g de los cuales azúcares 0.3g Proteínas 18.5g Sal 1.9g,No disponible,"(7,67 €/KILO)"
Jamón cocido extra bajo en sal Nuestra Alacena de Dia sobre 200 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273736,https://www.dia.es/product_images/273736/273736_ISO_0_ES.jpg?imwidth=392,"1,99 €",Grasas 2g de las cuales saturadas 0.8g Hidratos de Carbono 1.3g de los cuales azúcares 1.3g Proteínas 18g Sal 1.4g,No disponible,"(9,95 €/KILO)"
Bacon en lonchas Nuestra Alacena de Dia sobre 200 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273749,https://www.dia.es/product_images/273749/273749_ISO_0_ES.jpg?imwidth=392,"1,99 €",Grasas 25g de las cuales saturadas 9g Hidratos de Carbono 1g de los cuales azúcares 0.8g Proteínas 15g Sal 2g,No disponible,"(9,95 €/KILO)"
Mortadela con aceitunas Nuestra Alacena de Dia sobre 250 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273961,https://www.dia.es/product_images/273961/273961_ISO_0_ES.jpg?imwidth=392,"1,25 €",Grasas 21g de las cuales saturadas 7.4g Hidratos de Carbono 6.3g de los cuales azúcares 1g Proteínas 10g Sal 2.1g,No disponible,"(5,00 €/KILO)"
Mortadela Nuestra Alacena de Dia sobre 250 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273960,https://www.dia.es/product_images/273960/273960_ISO_0_ES.jpg?imwidth=392,"1,25 €",Grasas 24g de las cuales saturadas 8.4g Hidratos de Carbono 4.5g de los cuales azúcares 0.8g Proteínas 12g Sal 2g,No disponible,"(5,00 €/KILO)"
Jamón cocido extra 97% carne Nuestra Alacena de Dia sobre 150 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273737,https://www.dia.es/product_images/273737/273737_ISO_0_ES.jpg?imwidth=392,"1,99 €",Grasas 2g de las cuales saturadas 0.7g Hidratos de Carbono 0.5g de los cuales azúcares 0.5g Proteínas 20g Sal 1.93g,No disponible,"(13,27 €/KILO)"
Jamón de pavo Nuestra Alacena de Dia sobre 200 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273733,https://www.dia.es/product_images/273733/273733_ISO_0_ES.jpg?imwidth=392,"1,48 €",Grasas 4g de las cuales saturadas 1.4g Hidratos de Carbono 2g de los cuales azúcares 0.5g Proteínas 14g Sal 1.92g,No disponible,"(7,40 €/KILO)"
Jamón cocido extra Elpozo 1954 sobre 150 g,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/146710,https://www.dia.es/product_images/146710/146710_ISO_0_ES.jpg?imwidth=392,"2,00 €",Grasas 3.5g de las cuales saturadas 1.2g Hidratos de Carbono 0.5g de los cuales azúcares 0.5g Proteínas 19.4g Sal 1.9g,No disponible,"(13,33 €/KILO)"
